job,ran_at,duration_s,rows,errors
category_revenue,2026-03-09T08:53:34.239159+00:00,2.615,1,0
analytics_user_ltv,2026-03-09T08:53:37.751168+00:00,3.511,1,0
daily_revenue,2026-03-09T08:55:31.640123+00:00,3.068,1,0
category_revenue,2026-03-09T08:55:34.104658+00:00,2.464,1,0
analytics_user_ltv,2026-03-09T08:55:37.571620+00:00,3.466,1,0
daily_revenue,2026-03-09T08:57:31.599593+00:00,3.051,1,0
category_revenue,2026-03-09T08:57:34.078557+00:00,2.478,1,0
analytics_user_ltv,2026-03-09T08:57:37.612465+00:00,3.533,1,0
daily_revenue,2026-03-09T08:59:31.630493+00:00,3.06,1,0
category_revenue,2026-03-09T08:59:34.166049+00:00,2.535,1,0
analytics_user_ltv,2026-03-09T08:59:37.614652+00:00,3.448,1,0
daily_revenue,2026-03-09T09:01:31.677742+00:00,3.062,1,0
category_revenue,2026-03-09T09:01:34.137413+00:00,2.459,1,0
analytics_user_ltv,2026-03-09T09:01:37.682993+00:00,3.545,1,0
daily_revenue,2026-03-09T09:03:31.693746+00:00,3.09,1,0
category_revenue,2026-03-09T09:03:34.252543+00:00,2.557,1,0
analytics_user_ltv,2026-03-09T09:03:37.981334+00:00,3.728,1,0
daily_revenue,2026-03-09T09:05:31.672569+00:00,3.098,1,0
category_revenue,2026-03-09T09:05:34.182338+00:00,2.509,1,0
analytics_user_ltv,2026-03-09T09:05:37.768243+00:00,3.585,1,0
daily_revenue,2026-03-09T09:07:31.636712+00:00,3.055,1,0
category_revenue,2026-03-09T09:07:34.110684+00:00,2.473,1,0
analytics_user_ltv,2026-03-09T09:07:37.570876+00:00,3.459,1,0
daily_revenue,2026-03-09T09:09:31.634191+00:00,3.133,1,0
category_revenue,2026-03-09T09:09:34.260223+00:00,2.625,1,0
analytics_user_ltv,2026-03-09T09:09:38.155746+00:00,3.895,1,0
daily_revenue,2026-03-09T09:11:31.720445+00:00,3.068,1,0
category_revenue,2026-03-09T09:11:34.238116+00:00,2.517,1,0
analytics_user_ltv,2026-03-09T09:11:37.840929+00:00,3.602,1,0
daily_revenue,2026-03-09T09:13:31.597407+00:00,3.028,1,0
category_revenue,2026-03-09T09:13:34.096185+00:00,2.498,1,0
analytics_user_ltv,2026-03-09T09:13:37.595440+00:00,3.498,1,0
daily_revenue,2026-03-09T09:15:31.653490+00:00,3.072,1,0
category_revenue,2026-03-09T09:15:34.126812+00:00,2.473,1,0
analytics_user_ltv,2026-03-09T09:15:38.110917+00:00,3.983,1,0
daily_revenue,2026-03-09T09:17:31.665723+00:00,3.095,1,0
category_revenue,2026-03-09T09:17:34.184711+00:00,2.518,1,0
analytics_user_ltv,2026-03-09T09:17:37.714817+00:00,3.529,1,0
daily_revenue,2026-03-09T09:19:31.657755+00:00,3.096,1,0
category_revenue,2026-03-09T09:19:34.160690+00:00,2.502,1,0
analytics_user_ltv,2026-03-09T09:19:37.816229+00:00,3.655,1,0
daily_revenue,2026-03-09T09:21:31.731427+00:00,3.081,1,0
category_revenue,2026-03-09T09:21:34.207079+00:00,2.475,1,0
analytics_user_ltv,2026-03-09T09:21:37.783893+00:00,3.576,1,0
daily_revenue,2026-03-09T09:23:31.709866+00:00,3.101,1,0
